PassengerId,Name,Sex,No_of_siblings_aboard,Parents_&_children,Ticket, Ticket_Fare ,Port_Embarked,Age_Group,Citizens_Status,survivors
165, Master. Eino Viljami,male,4,1,3101295, £39.69 ,Southampton,kid,Third class,dead
166, Master. Frank John,male,0,2,363291, £20.52 ,Southampton,kid,Third class,survivor
168, Mrs. William Anna,female,1,4,347088, £27.90 ,Southampton,middle age,Third class,dead
170, Mr. Lee,male,0,0,1601, £56.50 ,Southampton,Youth,Third class,dead
171, Mr. Wyckoff,male,0,0,111240, £33.50 ,Southampton,old,First class,dead
172, Master. Arthur,male,4,1,382652, £29.12 ,Queenstown,kid,Third class,dead
173, Miss. Eleanor Ileen,female,1,1,347742, £11.13 ,Southampton,kid,Third class,survivor
174, Mr. Antti Wilhelm,male,0,0,STON/O 2. 3101280, £7.92 ,Southampton,Youth,Third class,dead
175, Mr. James Clinch,male,0,0,17764, £30.70 ,Cherbourg,old,First class,dead
176, Mr. Klas Albin,male,1,1,350404, £7.85 ,Southampton,Youth,Third class,dead
178, Miss. Ann Elizabeth,female,0,0,PC 17595, £28.71 ,Cherbourg,middle age,First class,dead
179, Mr. Reginald,male,0,0,250653, £13.00 ,Southampton,Youth,Second class,dead
180, Mr. Lionel,male,0,0,LINE, £-   ,Southampton,middle age,Third class,dead
183, Master. Clarence Gustaf,male,4,2,347077, £31.39 ,Southampton,kid,Third class,dead
184, Master. Richard F,male,2,1,230136, £39.00 ,Southampton,kid,Second class,survivor
185, Miss. Luise Gretchen,female,0,2,315153, £22.02 ,Southampton,kid,Third class,survivor
188, Mr. Charles Hallace,male,0,0,111428, £26.55 ,Southampton,middle age,First class,survivor
189, Mr. John,male,1,1,364849, £15.50 ,Queenstown,middle age,Third class,dead
190, Mr. Stjepan,male,0,0,349247, £7.90 ,Southampton,middle age,Third class,dead
191, Mrs. Rosa ,female,0,0,234604, £13.00 ,Southampton,middle age,Second class,survivor
192, Mr. William,male,0,0,28424, £13.00 ,Southampton,Youth,Second class,dead
193, Miss. Carla Christine,female,1,0,350046, £7.85 ,Southampton,Youth,Third class,survivor
194, Master. Michel M,male,1,1,230080, £26.00 ,Southampton,kid,Second class,survivor
195, Mrs. James Joseph,female,0,0,PC 17610, £27.72 ,Cherbourg,middle age,First class,survivor
196, Miss. Elise,female,0,0,PC 17569, £146.52 ,Cherbourg,old,First class,survivor
198, Mr. Karl Siegwart,male,0,1,4579, £8.40 ,Southampton,middle age,Third class,dead
200," Miss. Henriette Mrs""",female,0,0,248747, £13.00 ,Southampton,Youth,Second class,dead
201, Mr. Nestor Cyriel,male,0,0,345770, £9.50 ,Southampton,Youth,Third class,dead
203, Mr. Jakob Alfred,male,0,0,3101264, £6.50 ,Southampton,middle age,Third class,dead
204, Mr. Gerious,male,0,0,2628, £7.22 ,Cherbourg,middle age,Third class,dead
205," Mr. Gurshon Gus""""""""",male,0,0,A/5 3540, £8.05 ,Southampton,Youth,Third class,survivor
206, Miss. Telma Matilda,female,0,1,347054, £10.46 ,Southampton,kid,Third class,dead
207, Mr. Karl Alfred,male,1,0,3101278, £15.85 ,Southampton,middle age,Third class,dead
208, Mr. Nassef Cassem,male,0,0,2699, £18.79 ,Cherbourg,Youth,Third class,survivor
209," Miss. Helen Ellen""""""""",female,0,0,367231, £7.75 ,Queenstown,Teen,Third class,survivor
210, Mr. Henry,male,0,0,112277, £31.00 ,Cherbourg,middle age,First class,survivor
211, Mr. Ahmed,male,0,0,SOTON/O.Q. 3101311, £7.05 ,Southampton,Youth,Third class,dead
212, Miss. Clear Annie,female,0,0,F.C.C. 13528, £21.00 ,Southampton,middle age,Second class,survivor
213, Mr. John Henry,male,0,0,A/5 21174, £7.25 ,Southampton,Youth,Third class,dead
214, Mr. Hans Kristensen,male,0,0,250646, £13.00 ,Southampton,Youth,Second class,dead
216, Miss. Madeleine,female,1,0,35273, £113.28 ,Cherbourg,middle age,First class,survivor
217, Miss. Eliina,female,0,0,STON/O2. 3101283, £7.92 ,Southampton,Youth,Third class,survivor
218, Mr. Sidney Samuel,male,1,0,243847, £27.00 ,Southampton,middle age,Second class,dead
219, Miss. Albina,female,0,0,11813, £76.29 ,Cherbourg,middle age,First class,survivor
220, Mr. Walter,male,0,0,W/C 14208, £10.50 ,Southampton,Youth,Second class,dead
221, Mr. Victor Francis,male,0,0,SOTON/OQ 392089, £8.05 ,Southampton,Teen,Third class,survivor
222, Mr. James H,male,0,0,220367, £13.00 ,Southampton,Youth,Second class,dead
223, Mr. George Henry,male,0,0,21440, £8.05 ,Southampton,old,Third class,dead
225, Mr. Frederick Maxfield,male,1,0,19943, £90.00 ,Southampton,middle age,First class,survivor
226, Mr. Karl Ivar,male,0,0,PP 4348, £9.35 ,Southampton,Youth,Third class,dead
227, Mr. William John,male,0,0,SW/PP 751, £10.50 ,Southampton,Youth,Second class,survivor
228, Mr. John Hall,male,0,0,A/5 21173, £7.25 ,Southampton,Youth,Third class,dead
229, Mr. Arne Jonas,male,0,0,236171, £13.00 ,Southampton,Youth,Second class,dead
231, Mrs. Henry Birkhardt,female,1,0,36973, £83.48 ,Southampton,middle age,First class,survivor
232, Mr. Bengt Edvin,male,0,0,347067, £7.78 ,Southampton,Youth,Third class,dead
233, Mr. Ernst Adolf,male,0,0,237442, £13.50 ,Southampton,old,Second class,dead
234, Miss. Lillian Gertrud,female,4,2,347077, £31.39 ,Southampton,kid,Third class,survivor
235, Mr. Robert William,male,0,0,C.A. 29566, £10.50 ,Southampton,Youth,Second class,dead
237, Mr. Stephen,male,1,0,26707, £26.00 ,Southampton,middle age,Second class,dead
238," Miss. Marjorie Lottie""""""""",female,0,2,C.A. 31921, £26.25 ,Southampton,kid,Second class,survivor
239, Mr. Frederick William,male,0,0,28665, £10.50 ,Southampton,Youth,Second class,dead
240, Mr. George Henry,male,0,0,SCO/W 1585, £12.28 ,Southampton,middle age,Second class,dead
243, Mr. Reginald Charles,male,0,0,W./C. 14263, £10.50 ,Southampton,Youth,Second class,dead
244, Mr. Matti Alexanteri,male,0,0,STON/O 2. 3101275, £7.12 ,Southampton,Youth,Third class,dead
245, Mr. Sleiman,male,0,0,2694, £7.22 ,Cherbourg,Youth,Third class,dead
246, Dr. William Edward,male,2,0,19928, £90.00 ,Queenstown,middle age,First class,dead
247, Miss. Agda Thorilda,female,0,0,347071, £7.78 ,Southampton,Youth,Third class,dead
248, Mrs. William Anna,female,0,2,250649, £14.50 ,Southampton,Youth,Second class,survivor
249, Mr. Richard Leonard,male,1,1,11751, £52.55 ,Southampton,middle age,First class,survivor
250, Rev. Ernest Courtenay,male,1,0,244252, £26.00 ,Southampton,old,Second class,dead
252, Mrs. Wilhelm Elna,female,1,1,347054, £10.46 ,Southampton,Youth,Third class,dead
253, Mr. William Thomas,male,0,0,113514, £26.55 ,Southampton,old,First class,dead
254, Mr. William Arthur,male,1,0,A/5. 3336, £16.10 ,Southampton,Youth,Third class,dead
255, Mrs. Viktor Helena,female,0,2,370129, £20.21 ,Southampton,middle age,Third class,dead
256, Mrs. Darwis Hanne,female,0,2,2650, £15.25 ,Cherbourg,Youth,Third class,survivor
258, Miss. Gladys,female,0,0,110152, £86.50 ,Southampton,Youth,First class,survivor
259, Miss. Anna,female,0,0,PC 17755, £512.33 ,Cherbourg,middle age,First class,survivor
260, Mrs. Lutie Davis,female,0,1,230433, £26.00 ,Southampton,middle age,Second class,survivor
262, Master. Edvin Rojj,male,4,2,347077, £31.39 ,Southampton,kid,Third class,survivor
263, Mr. Emil,male,1,1,110413, £79.65 ,Southampton,old,First class,dead
264, Mr. William,male,0,0,112059, £-   ,Southampton,middle age,First class,dead
266, Mr. David,male,0,0,C.A. 17248, £10.50 ,Southampton,middle age,Second class,dead
267, Mr. Ernesti Arvid,male,4,1,3101295, £39.69 ,Southampton,Teen,Third class,dead
268, Mr. Ernst Ulrik,male,1,0,347083, £7.78 ,Southampton,Youth,Third class,survivor
269, Mrs. William Thompson,female,0,1,PC 17582, £153.46 ,Southampton,old,First class,survivor
270, Miss. Amelia,female,0,0,PC 17760, £135.63 ,Southampton,middle age,First class,survivor
272, Mr. William Henry,male,0,0,LINE, £-   ,Southampton,Youth,Third class,survivor
273, Mrs. Elizabeth Anne,female,0,1,250644, £19.50 ,Southampton,middle age,Second class,survivor
274, Mr. Charles H,male,0,1,PC 17596, £29.70 ,Cherbourg,middle age,First class,dead
276, Miss. Kornelia Theodosia,female,1,0,13502, £77.96 ,Southampton,old,First class,survivor
277, Miss. Augusta Charlotta,female,0,0,347073, £7.75 ,Southampton,middle age,Third class,dead
279, Master. Eric,male,4,1,382652, £29.12 ,Queenstown,kid,Third class,dead
280, Mrs. Stanton Rosa,female,1,1,C.A. 2673, £20.25 ,Southampton,middle age,Third class,survivor
281, Mr. Frank,male,0,0,336439, £7.75 ,Queenstown,old,Third class,dead
282, Mr. Nils Johan,male,0,0,347464, £7.85 ,Southampton,Youth,Third class,dead
283, Mr. Alfons,male,0,0,345778, £9.50 ,Southampton,Teen,Third class,dead
284, Mr. Edward Arthur,male,0,0,A/5. 10482, £8.05 ,Southampton,Youth,Third class,survivor
286, Mr. Ivan,male,0,0,349239, £8.66 ,Cherbourg,middle age,Third class,dead
287, Mr. Theodore,male,0,0,345774, £9.50 ,Southampton,Youth,Third class,survivor
288, Mr. Penko,male,0,0,349206, £7.90 ,Southampton,Youth,Third class,dead
289, Mr. Masabumi,male,0,0,237798, £13.00 ,Southampton,middle age,Second class,survivor
290, Miss. Kate,female,0,0,370373, £7.75 ,Queenstown,Youth,Third class,survivor
291," Miss. Ellen Nellie""""""""",female,0,0,19877, £78.85 ,Southampton,Youth,First class,survivor
292, Mrs. Dickinson H,female,1,0,11967, £91.08 ,Cherbourg,Youth,First class,survivor
293, Mr. Rene Jacques,male,0,0,SC/Paris 2163, £12.88 ,Cherbourg,middle age,Second class,dead
294, Miss. Aloisia,female,0,0,349236, £8.85 ,Southampton,Youth,Third class,dead
295, Mr. Ivan,male,0,0,349233, £7.90 ,Southampton,Youth,Third class,dead
297, Mr. Mansour,male,0,0,2693, £7.23 ,Cherbourg,Youth,Third class,dead
298, Miss. Helen Loraine,female,1,2,113781, £151.55 ,Southampton,kid,First class,dead
300, Mrs. James Helene,female,0,1,PC 17558, £247.52 ,Cherbourg,middle age,First class,survivor
303, Mr. William Cahoone,male,0,0,LINE, £-   ,Southampton,Youth,Third class,dead
306, Master. Hudson Trevor,male,1,2,113781, £151.55 ,Southampton,kid,First class,survivor
308, Mrs. Victor de,female,1,0,PC 17758, £108.90 ,Cherbourg,Teen,First class,survivor
309, Mr. Samuel,male,1,0,P/PP 3381, £24.00 ,Cherbourg,Youth,Second class,dead
310, Miss. Laura Mabel,female,0,0,PC 17485, £56.93 ,Cherbourg,Youth,First class,survivor
311, Miss. Margaret Bechstein,female,0,0,11767, £83.16 ,Cherbourg,Youth,First class,survivor
312, Miss. Emily Borie,female,2,2,PC 17608, £262.38 ,Cherbourg,Youth,First class,survivor
313, Mrs. William Anna,female,1,1,250651, £26.00 ,Southampton,Youth,Second class,dead
314, Mr. Ignjac,male,0,0,349243, £7.90 ,Southampton,Youth,Third class,dead
315, Mr. Benjamin,male,1,1,F.C.C. 13529, £26.25 ,Southampton,middle age,Second class,dead
316, Miss. Helmina Josefina,female,0,0,347470, £7.85 ,Southampton,Youth,Third class,survivor
317, Mrs. Sinai Miriam,female,1,0,244367, £26.00 ,Southampton,Youth,Second class,survivor
318, Dr. Ernest,male,0,0,29011, £14.00 ,Southampton,old,Second class,dead
319, Miss. Mary Natalie,female,0,2,36928, £164.87 ,Southampton,middle age,First class,survivor
320, Mrs. Frederic Oakley,female,1,1,16966, £134.50 ,Cherbourg,middle age,First class,survivor
321, Mr. Samuel,male,0,0,A/5 21172, £7.25 ,Southampton,Youth,Third class,dead
322, Mr. Yoto,male,0,0,349219, £7.90 ,Southampton,Youth,Third class,dead
323, Miss. Hilda Mary,female,0,0,234818, £12.35 ,Queenstown,Youth,Second class,survivor
324, Mrs. Albert Francis,female,1,1,248738, £29.00 ,Southampton,Youth,Second class,survivor
326, Miss. Marie Grice,female,0,0,PC 17760, £135.63 ,Cherbourg,middle age,First class,survivor
327, Mr. Johan Hansen,male,0,0,345364, £6.24 ,Southampton,old,Third class,dead
328, Mrs. Ada E,female,0,0,28551, £13.00 ,Southampton,middle age,Second class,survivor
329, Mrs. Frank John,female,1,1,363291, £20.52 ,Southampton,middle age,Third class,survivor
330, Miss. Jean Gertrude,female,0,1,111361, £57.98 ,Cherbourg,Teen,First class,survivor
332, Mr. Austen,male,0,0,113043, £28.50 ,Southampton,middle age,First class,dead
333, Mr. George Edward,male,0,1,PC 17582, £153.46 ,Southampton,middle age,First class,dead
334, Mr. Leo Edmondus,male,2,0,345764, £18.00 ,Southampton,Teen,Third class,dead
337, Mr. Thomas Clinton,male,1,0,113776, £66.60 ,Southampton,Youth,First class,dead
338, Miss. Elizabeth Margaret,female,0,0,16966, £134.50 ,Cherbourg,middle age,First class,survivor
339, Mr. Karl Edwart,male,0,0,7598, £8.05 ,Southampton,middle age,Third class,survivor
340, Mr. Stephen Weart,male,0,0,113784, £35.50 ,Southampton,middle age,First class,dead
341, Master. Edmond Roger,male,1,1,230080, £26.00 ,Southampton,kid,Second class,survivor
342, Miss. Alice Elizabeth,female,3,2,19950, £263.00 ,Southampton,Youth,First class,survivor
343, Mr. Erik Gustaf,male,0,0,248740, £13.00 ,Southampton,Youth,Second class,dead
344, Mr. Charles Frederick,male,0,0,244361, £13.00 ,Southampton,Youth,Second class,dead
345, Mr. Stanley Hubert,male,0,0,229236, £13.00 ,Southampton,middle age,Second class,dead
346," Miss. Amelia Mildred""""""""",female,0,0,248733, £13.00 ,Southampton,Youth,Second class,survivor
347, Miss. Marion Elsie,female,0,0,31418, £13.00 ,Southampton,middle age,Second class,survivor
349, Master. William Loch,male,1,1,C.A. 37671, £15.90 ,Southampton,kid,Third class,survivor
350, Mr. Jovan,male,0,0,315088, £8.66 ,Southampton,middle age,Third class,dead
351, Mr. Nils Martin,male,0,0,7267, £9.22 ,Southampton,Youth,Third class,dead
353, Mr. Tannous,male,1,1,2695, £7.23 ,Cherbourg,Teen,Third class,dead
354, Mr. Josef,male,1,0,349237, £17.80 ,Southampton,Youth,Third class,dead
356, Mr. Leo Peter,male,0,0,345783, £9.50 ,Southampton,Youth,Third class,dead
357, Miss. Elsie Edith,female,0,1,113505, £55.00 ,Southampton,Youth,First class,survivor
358, Miss. Annie Clemmer,female,0,0,237671, £13.00 ,Southampton,middle age,Second class,dead
361, Mr. Wilhelm,male,1,4,347088, £27.90 ,Southampton,middle age,Third class,dead
362, Mr. Sebastiano,male,1,0,SC/PARIS 2167, £27.72 ,Cherbourg,Youth,Second class,dead
363, Mrs. Catherine David,female,0,1,2691, £14.45 ,Cherbourg,middle age,Third class,dead
364, Mr. Adola,male,0,0,SOTON/O.Q. 3101310, £7.05 ,Southampton,middle age,Third class,dead
366, Mr. Mauritz Nils,male,0,0,C 7076, £7.25 ,Southampton,Youth,Third class,dead
367, Mrs. Frank Manley,female,1,0,110813, £75.25 ,Cherbourg,old,First class,survivor
370, Mme. Leontine Pauline,female,0,0,PC 17477, £69.30 ,Cherbourg,Youth,First class,survivor
